papirus-icon-theme 20250501-1
paru 2.1.0-2
pavucontrol 1:6.2-1.1
perl 5.42.2-1.1
pipewire-alsa 1:1.6.4-1.1
pipewire-pulse 1:1.6.4-1.1
pkgfile 25-2.1
plocate 1.1.24-1.1
plymouth 24.004.60-14.1
podman 5.8.2-1.1
podman-desktop 1.26.2-1.1
poppler-glib 26.04.0-1.1
power-profiles-daemon 0.30-3
ptyxis 50.1-1.2
pv 1.10.5-1.1
python 3.14.4-2
python-defusedxml 0.7.1-8
python-packaging 26.2-1
qt5-quickcontrols2 5.15.18+kde+r5-1.1
rebuild-detector 4.4.5-1
reflector 2023-5
ripgrep 15.1.0-2
rsync 3.4.2-1.1
s-nail 14.9.25-1.1
sassc 3.6.2-5.2
sddm-nordic-theme-git 2.2.0.r71.gff8165c-1
sg3_utils 1.48-1.2
shelly 2.2.2-1
showtime 50.0-1
simple-scan 50.0-1.1
smartmontools 7.5-1.1
snapper 0.13.1-2.1
snapshot 50.0-1.1
sof-firmware 2025.12.2-1
stow 2.4.1-1
sudo 1.9.17.p2-2.1
sushi 50.0-1.1
sysfsutils 2.1.1-2.2
system-config-printer 1.5.18-6
tauon-music-box 9.1.3-2.1
texinfo 7.3-1.1
thunderbird 150.0-1.1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-liberation 2.1.5-2
ttf-meslo-nerd 3.4.0-2
ttf-opensans 3.003-1
ufw 0.36.2-7
ufw-extras 1.2.0-1
unrar 1:7.2.6-1.1
unzip 6.0-23.1
upower 1.91.2-1.1
usb_modeswitch 2.6.2.20251207-1.1
usbutils 019-1.1
vim 9.2.0388-1.1
vlc 3.0.22-3.1
vlc-plugins-all 3.0.22-3.1
vulkan-intel 2:26.0.6-2
wget 1.25.0-3.1
which 2.23-1.1
wireplumber 0.5.14-1.1
wpa_supplicant 2:2.11-5.1
xdg-desktop-portal-cosmic 1:1.0.11-1.1
xdg-desktop-portal-gtk 1.15.3-1.1
xdg-user-dirs 0.20-1.1
xfsprogs 6.19.0-1.1
xl2tpd 1.3.20-1.1
xorg-xwayland 24.1.11-1.1
yay 12.5.7-1
yt-dlp 2026.03.17-1
